"Freq [GHz]","dB(St(Centro_T1,Centro_T1)) []"
1E-08,-5.91182749031447E-08
0.01010102,-0.16610661766344
0.02020203,-0.154467357710454
0.03030304,-0.139039605268861
0.04040405,-0.120960823484418
0.05050506,-0.102048978326315
0.06060607,-0.0843685475799189
0.07070708,-0.069906928994434
0.08080809,-0.0604026422042607
0.0909091,-0.0572668154513822
0.10101011,-0.0603151125786405
0.11111112,-0.0563633439289671
0.12121213,-0.0533626851946081
0.13131314,-0.0510619106913637
0.14141415,-0.0492967068779536
0.15151516,-0.0479569956341581
0.16161617,-0.0469678951281077
0.17171718,-0.0462782839905512
0.18181819,-0.0458537895620907
0.1919192,-0.0456724625647152
0.20202021,-0.0457221645622599
0.21212122,-0.04599912036222
0.22222223,-0.0465073402400046
0.23232324,-0.0472587821025567
0.24242425,-0.0482742502334529
0.25252526,-0.0495851482962192
0.26262627,-0.0512363501518034
0.27272728,-0.053290661138983
0.28282829,-0.055835675776547
0.2929293,-0.0589944050250436
0.30303031,-0.0629420585469163
0.31313132,-0.0679332534825414
0.32323233,-0.074347595238761
0.33333334,-0.0827690949605357
0.34343435,-0.094131175526639
0.35353536,-0.109996724984468
0.36363637,-0.133137176402377
0.37373738,-0.168835627560222
0.38383839,-0.22815258483056
0.3939394,-0.337355622670877
0.40404041,-0.571001123631947
0.41414142,-1.20595584131444
0.42424243,-3.82889123770195
0.43434344,-17.8201877661492
0.44444445,-3.00775958977475
0.45454546,-1.11897308907844
0.46464647,-0.594128463726311
0.47474748,-0.384321701473031
0.48484849,-0.281178081370313
0.4949495,-0.223547196438179
0.50505051,-0.188534123609742
0.51515152,-0.166040573496149
0.52525253,-0.151058068062777
0.53535354,-0.140873917581789
0.54545455,-0.13391470646925
0.55555556,-0.129216390857189
0.56565657,-0.126161169646385
0.57575758,-0.124338009181573
0.58585859,-0.123464602976064
0.5959596,-0.1233416703133
0.60606061,-0.123825130850652
0.61616162,-0.124808583755215
0.62626263,-0.126211946910003
0.63636364,-0.127973897902162
0.64646465,-0.130046728399774
0.65656566,-0.132392769517526
0.66666667,-0.134981863127699
0.67676768,-0.137789543883524
0.68686869,-0.140795713203597
0.6969697,-0.143983659627343
0.70707071,-0.14733932688302
0.71717172,-0.150850761700692
0.72727273,-0.154507693828506
0.73737374,-0.158301214527407
0.74747475,-0.162223529304005
0.75757576,-0.16626776724326
0.76767677,-0.170427833955083
0.77777778,-0.174698298466865
0.78787879,-0.179074306784968
0.7979798,-0.183551516588426
0.80808081,-0.188126048796652
0.81818182,-0.192794452698633
0.82828283,-0.197553682038196
0.83838384,-0.202401079979304
0.84848485,-0.207334371277
0.85858586,-0.212351660284736
0.86868687,-0.217451433661327
0.87878788,-0.222632566821291
0.88888889,-0.227894333310795
0.8989899,-0.233236416400775
0.90909091,-0.238658922274063
0.91919192,-0.244162394252551
0.92929293,-0.249747827566379
0.93939394,-0.255416684213146
0.94949495,-0.261170907496061
0.95959596,-0.267012935863885
0.96969697,-0.272945715708844
0.97979798,-0.278972712806973
0.98989899,-0.285097922116584
1,-0.29132587570428
